date,dxy_delta20d,z,score
date,dxy_delta20d,z
2023-12-30,2.21,-2.29
2023-12-31,1.95,-2.55
2024-01-01,3.11,-1.39
2024-01-02,4.52,0.02
2024-01-03,2.21,-2.29
2024-01-04,4.63,0.13
2024-01-05,6.86,2.36
2024-01-06,3.15,-1.35
2024-01-07,3.98,-0.52
2024-01-08,7.60,3.10
2024-01-09,5.13,0.63
2024-01-10,6.03,1.53
2024-01-11,5.98,1.48
2024-01-12,-0.59,-5.09
2024-01-13,-1.72,-6.22
2024-01-14,-1.92,-6.42
2024-01-15,-2.26,-6.76
2024-01-16,1.29,-3.21
2024-01-17,1.61,-2.89
2024-01-18,-2.01,-6.51
2024-01-19,-1.57,-6.07
2024-01-20,-5.78,-10.28
2024-01-21,-7.60,-12.10
2024-01-22,-7.79,-12.29
2024-01-23,-9.76,-14.26
2024-01-24,-9.30,-13.80
2024-01-25,-9.21,-13.71
2024-01-26,-4.86,-9.36
2024-01-27,-10.36,-14.86
2024-01-28,-8.87,-13.37
2024-01-29,-7.20,-11.70
2024-01-30,-7.34,-11.84
2024-01-31,-0.53,-5.03
2024-02-01,0.56,-3.94
2024-02-02,3.56,-0.94
2024-02-03,1.23,-3.27
2024-02-04,-1.30,-5.80
2024-02-05,-0.19,-4.69
2024-02-06,4.36,-0.14
2024-02-07,6.53,2.03
2024-02-08,8.73,4.23
2024-02-09,13.49,8.99
2024-02-10,20.86,16.36
2024-02-11,21.16,16.66
2024-02-12,24.61,20.11
2024-02-13,24.49,19.99
2024-02-14,24.02,19.52
2024-02-15,23.28,18.78
2024-02-16,24.09,19.59
2024-02-17,19.30,14.80
2024-02-18,21.45,16.95
2024-02-19,21.71,17.21
2024-02-20,21.35,16.85
2024-02-21,20.08,15.58
2024-02-22,19.18,14.68
2024-02-23,19.21,14.71
2024-02-24,20.89,16.39
2024-02-25,20.04,15.54
2024-02-26,22.98,18.48
2024-02-27,25.98,21.48
2024-02-28,32.57,28.07
2024-02-29,28.08,23.58
2024-03-01,29.22,24.72
2024-03-02,24.24,19.74
2024-03-03,27.01,22.51
2024-03-04,31.82,27.32
2024-03-05,22.85,18.35
2024-03-06,26.76,22.26
2024-03-07,29.56,25.06
2024-03-08,30.94,26.44
2024-03-09,32.23,27.73
2024-03-10,32.05,27.55
2024-03-11,39.07,34.57
2024-03-12,39.44,34.94
2024-03-13,44.12,39.62
2024-03-14,38.38,33.88
2024-03-15,34.36,29.86
2024-03-16,19.66,15.16
2024-03-17,19.74,15.24
2024-03-18,8.15,3.65
2024-03-19,1.19,-3.31
2024-03-20,8.68,4.18
2024-03-21,5.54,1.04
2024-03-22,1.05,-3.45
2024-03-23,-6.38,-10.88
2024-03-24,5.34,0.84
2024-03-25,5.70,1.20
2024-03-26,4.56,0.06
2024-03-27,1.68,-2.82
2024-03-28,3.39,-1.11
2024-03-29,1.26,-3.24
2024-03-30,-3.44,-7.94
2024-03-31,-0.26,-4.76
2024-04-01,-4.72,-9.22
2024-04-02,-8.27,-12.77
2024-04-03,-5.06,-9.56
2024-04-04,5.01,0.51
2024-04-05,-0.71,-5.21
2024-04-06,1.93,-2.57
2024-04-07,12.02,7.52
2024-04-08,5.55,1.05
2024-04-09,5.55,1.05
2024-04-10,10.69,6.19
2024-04-11,9.41,4.91
2024-04-12,-0.08,-4.58
2024-04-13,-8.39,-12.89
2024-04-14,-6.02,-10.52
2024-04-15,-8.62,-13.12
2024-04-16,-9.87,-14.37
2024-04-17,-12.34,-16.84
2024-04-18,-8.78,-13.28
2024-04-19,-10.44,-14.94
2024-04-20,-6.76,-11.26
2024-04-21,-0.78,-5.28
2024-04-22,1.32,-3.18
2024-04-23,-3.08,-7.58
2024-04-24,-5.31,-9.81
2024-04-25,-6.44,-10.94
2024-04-26,-8.09,-12.59
2024-04-27,-11.45,-15.95
2024-04-28,-8.69,-13.19
2024-04-29,-9.61,-14.11
2024-04-30,-13.42,-17.92
2024-05-01,-13.23,-17.73
2024-05-02,-7.74,-12.24
2024-05-03,-4.35,-8.85
2024-05-04,0.71,-3.79
2024-05-05,0.33,-4.17
2024-05-06,3.07,-1.43
2024-05-07,-1.89,-6.39
2024-05-08,-4.20,-8.70
2024-05-09,-2.92,-7.42
2024-05-10,-6.41,-10.91
2024-05-11,-9.04,-13.54
2024-05-12,-7.47,-11.97
2024-05-13,-2.06,-6.56
2024-05-14,-4.57,-9.07
2024-05-15,3.93,-0.57
2024-05-16,2.89,-1.61
2024-05-17,6.24,1.74
2024-05-18,4.82,0.32
2024-05-19,9.30,4.80
2024-05-20,22.60,18.10
2024-05-21,18.74,14.24
2024-05-22,9.85,5.35
2024-05-23,6.32,1.82
2024-05-24,7.07,2.57
2024-05-25,9.70,5.20
2024-05-26,9.88,5.38
2024-05-27,13.40,8.90
2024-05-28,8.32,3.82
2024-05-29,11.16,6.66
2024-05-30,12.37,7.87
2024-05-31,9.80,5.30
2024-06-01,7.61,3.11
2024-06-02,10.07,5.57
2024-06-03,3.84,-0.66
2024-06-04,8.11,3.61
2024-06-05,6.08,1.58
2024-06-06,5.75,1.25
2024-06-07,4.62,0.12
2024-06-08,-2.98,-7.48
2024-06-09,-0.72,-5.22
2024-06-10,0.56,-3.94
2024-06-11,-0.92,-5.42
2024-06-12,-0.44,-4.94
2024-06-13,-3.68,-8.18
2024-06-14,-3.61,-8.11
2024-06-15,-4.58,-9.08
2024-06-16,-2.48,-6.98
2024-06-17,-1.61,-6.11
2024-06-18,-4.66,-9.16
2024-06-19,-3.75,-8.25
2024-06-20,-4.25,-8.75
2024-06-22,-5.17,-9.67
2024-06-23,-8.17,-12.67
2024-06-24,-14.57,-19.07
2024-06-25,-13.12,-17.62
2024-06-26,-14.07,-18.57
2024-06-27,-11.12,-15.62
2024-06-28,-12.97,-17.47
2024-06-29,-12.57,-17.07
2024-06-30,-9.83,-14.33
2024-07-01,-6.66,-11.16
2024-07-02,-9.10,-13.60
2024-07-03,-9.88,-14.38
2024-07-04,-13.58,-18.08
2024-07-05,-14.43,-18.93
2024-07-06,-12.58,-17.08
2024-07-07,-15.99,-20.49
2024-07-08,-12.97,-17.47
2024-07-09,-10.62,-15.12
2024-07-10,-10.99,-15.49
2024-07-11,-10.73,-15.23
2024-07-12,-8.33,-12.83
2024-07-13,-1.72,-6.22
2024-07-14,-1.59,-6.09
2024-07-15,6.48,1.98
2024-07-16,5.64,1.14
2024-07-17,6.25,1.75
2024-07-18,5.09,0.59
2024-07-19,6.45,1.95
2024-07-20,6.90,2.40
2024-07-21,9.90,5.40
2024-07-22,12.33,7.83
2024-07-23,15.60,11.10
2024-07-24,15.41,10.91
2024-07-25,12.96,8.46
2024-07-26,21.61,17.11
2024-07-27,19.75,15.25
2024-07-28,17.57,13.07
2024-07-29,15.70,11.20
2024-07-30,15.40,10.90
2024-07-31,11.57,7.07
2024-08-01,10.24,5.74
2024-08-02,1.00,-3.50
2024-08-03,-6.30,-10.80
2024-08-04,-10.69,-15.19
2024-08-05,-15.69,-20.19
2024-08-06,-12.40,-16.90
2024-08-07,-17.33,-21.83
2024-08-08,-8.13,-12.63
2024-08-09,-10.73,-15.23
2024-08-10,-9.80,-14.30
2024-08-11,-10.94,-15.44
2024-08-12,-9.19,-13.69
2024-08-13,-7.89,-12.39
2024-08-14,-13.59,-18.09
2024-08-15,-15.25,-19.75
2024-08-16,-13.71,-18.21
2024-08-17,-10.89,-15.39
2024-08-18,-11.68,-16.18
2024-08-19,-7.98,-12.48
2024-08-20,-9.60,-14.10
2024-08-21,-0.41,-4.91
2024-08-22,-0.48,-4.98
2024-08-23,10.25,5.75
2024-08-24,18.79,14.29
2024-08-25,14.64,10.14
2024-08-26,13.95,9.45
2024-08-27,-3.67,-8.17
2024-08-28,-2.98,-7.48
2024-08-29,-2.58,-7.08
2024-08-30,0.66,-3.84
2024-08-31,-0.66,-5.16
2024-09-01,-5.45,-9.95
2024-09-02,0.77,-3.73
2024-09-03,-0.13,-4.63
2024-09-04,-1.56,-6.06
2024-09-05,-5.61,-10.11
2024-09-06,-7.68,-12.18
2024-09-07,-8.91,-13.41
2024-09-08,-7.01,-11.51
2024-09-09,-6.72,-11.22
2024-09-10,-4.53,-9.03
2024-09-11,-10.51,-15.01
2024-09-12,-9.41,-13.91
2024-09-13,-5.77,-10.27
2024-09-14,-4.50,-9.00
2024-09-15,-0.53,-5.03
2024-09-16,-1.42,-5.92
2024-09-17,1.60,-2.90
2024-09-18,4.49,-0.01
2024-09-19,6.77,2.27
2024-09-20,10.32,5.82
2024-09-21,7.14,2.64
2024-09-22,10.63,6.13
2024-09-23,9.26,4.76
2024-09-24,14.45,9.95
2024-09-25,17.02,12.52
2024-09-26,20.35,15.85
2024-09-27,19.88,15.38
2024-09-28,15.43,10.93
2024-09-29,13.80,9.30
2024-09-30,10.37,5.87
2024-10-01,4.56,0.06
2024-10-02,0.15,-4.35
2024-10-03,1.22,-3.28
2024-10-04,5.02,0.52
2024-10-05,6.60,2.10
2024-10-06,4.14,-0.36
2024-10-07,0.70,-3.80
2024-10-08,-1.33,-5.83
2024-10-09,-4.16,-8.66
2024-10-10,-4.87,-9.37
2024-10-11,-1.67,-6.17
2024-10-12,-0.24,-4.74
2024-10-13,-2.22,-6.72
2024-10-14,4.65,0.15
2024-10-15,2.88,-1.62
2024-10-16,2.77,-1.73
2024-10-17,2.34,-2.16
2024-10-18,4.31,-0.19
2024-10-19,8.00,3.50
2024-10-20,13.53,9.03
2024-10-21,11.07,6.57
2024-10-22,10.92,6.42
2024-10-23,7.26,2.76
2024-10-24,9.84,5.34
2024-10-25,5.98,1.48
2024-10-26,7.74,3.24
2024-10-27,9.37,4.87
2024-10-28,15.43,10.93
2024-10-29,20.65,16.15
2024-10-30,15.68,11.18
2024-10-31,11.09,6.59
2024-11-01,10.54,6.04
2024-11-02,4.98,0.48
2024-11-03,2.51,-1.99
2024-11-04,0.29,-4.21
2024-11-05,2.94,-1.56
2024-11-06,10.55,6.05
2024-11-07,11.05,6.55
2024-11-08,10.94,6.44
2024-11-09,13.91,9.41
2024-11-10,19.37,14.87
2024-11-11,33.29,28.79
2024-11-12,29.17,24.67
2024-11-13,35.95,31.45
2024-11-14,30.33,25.83
2024-11-15,34.02,29.52
2024-11-16,29.62,25.12
2024-11-17,23.60,19.10
2024-11-18,25.16,20.66
2024-11-19,31.68,27.18
2024-11-20,35.88,31.38
2024-11-21,41.93,37.43
2024-11-22,44.06,39.56
2024-11-23,44.20,39.70
2024-11-24,41.29,36.79
2024-11-25,22.94,18.44
2024-11-26,21.09,16.59
2024-11-27,25.32,20.82
2024-11-28,24.70,20.20
2024-11-29,21.21,16.71
2024-11-30,8.67,4.17
2024-12-01,10.48,5.98
2024-12-02,5.93,1.43
2024-12-03,9.83,5.33
2024-12-04,8.44,3.94
2024-12-05,7.07,2.57
2024-12-06,11.13,6.63
2024-12-07,10.39,5.89
2024-12-08,9.45,4.95
2024-12-09,3.11,-1.39
2024-12-10,-1.81,-6.31
2024-12-11,2.20,-2.30
2024-12-12,2.30,-2.20
2024-12-13,3.47,-1.03
2024-12-14,9.03,4.53
2024-12-15,13.62,9.12
2024-12-16,10.58,6.08
2024-12-17,10.95,6.45
2024-12-18,2.73,-1.77
2024-12-19,0.94,-3.56
2024-12-20,0.52,-3.98
2024-12-21,1.43,-3.07
2024-12-22,-0.87,-5.37
2024-12-23,-4.03,-8.53
2024-12-24,1.60,-2.90
2024-12-25,-0.55,-5.05
2024-12-26,-4.26,-8.76
2024-12-27,-6.92,-11.42
2024-12-28,-2.25,-6.75
2024-12-29,-3.20,-7.70
2024-12-30,-8.48,-12.98
2024-12-31,-6.67,-11.17
2025-01-01,-6.95,-11.45
2025-01-02,-4.43,-8.93
2025-01-03,-6.04,-10.54
2025-01-04,-7.44,-11.94
2025-01-05,-7.34,-11.84
2025-01-06,2.13,-2.37
2025-01-07,-0.44,-4.94
2025-01-08,-2.79,-7.29
2025-01-09,-4.82,-9.32
2025-01-10,-0.41,-4.91
2025-01-11,-0.21,-4.71
2025-01-12,-4.14,-8.64
2025-01-13,-4.87,-9.37
2025-01-14,0.90,-3.60
2025-01-15,6.73,2.23
2025-01-16,5.10,0.60
2025-01-17,11.27,6.77
2025-01-18,12.76,8.26
2025-01-19,8.42,3.92
2025-01-20,8.22,3.72
2025-01-21,9.55,5.05
2025-01-22,5.64,1.14
2025-01-23,5.82,1.32
2025-01-24,6.61,2.11
2025-01-25,2.40,-2.10
2025-01-26,5.80,1.30
2025-01-27,7.39,2.89
2025-01-28,9.45,4.95
2025-01-29,9.55,5.05
2025-01-30,10.76,6.26
2025-01-31,8.36,3.86
2025-02-01,6.47,1.97
2025-02-02,1.18,-3.32
2025-02-03,0.95,-3.55
2025-02-04,-2.19,-6.69
2025-02-05,-7.17,-11.67
2025-02-06,-7.54,-12.04
2025-02-07,-4.62,-9.12
2025-02-08,-5.55,-10.05
2025-02-09,-9.12,-13.62
2025-02-10,-6.00,-10.50
2025-02-11,-7.84,-12.34
2025-02-12,-6.66,-11.16
2025-02-13,-7.74,-12.24
2025-02-14,-4.93,-9.43
2025-02-15,-4.38,-8.88
2025-02-16,-5.10,-9.60
2025-02-17,-7.68,-12.18
2025-02-18,-8.72,-13.22
2025-02-19,-5.64,-10.14
2025-02-20,-2.26,-6.76
2025-02-21,-1.56,-6.06
2025-02-22,-4.81,-9.31
2025-02-23,-1.56,-6.06
2025-02-24,-5.31,-9.81
2025-02-25,-8.26,-12.76
2025-02-26,-12.87,-17.37
2025-02-27,-12.28,-16.78
2025-02-28,-12.62,-17.12
2025-03-01,-11.73,-16.23
2025-03-02,-1.58,-6.08
2025-03-03,-11.96,-16.46
2025-03-04,-9.70,-14.20
2025-03-05,-7.08,-11.58
2025-03-06,-7.86,-12.36
2025-03-07,-9.74,-14.24
2025-03-08,-10.00,-14.50
2025-03-09,-15.59,-20.09
2025-03-10,-18.72,-23.22
2025-03-11,-15.69,-20.19
2025-03-12,-13.00,-17.50
2025-03-13,-16.06,-20.56
2025-03-14,-12.76,-17.26
2025-03-15,-7.82,-12.32
2025-03-16,-6.80,-11.30
2025-03-17,-0.12,-4.62
2025-03-18,-2.28,-6.78
2025-03-19,3.06,-1.44
2025-03-20,-2.13,-6.63
2025-03-21,-10.82,-15.32
2025-03-22,-2.68,-7.18
2025-03-23,-1.33,-5.83
2025-03-24,-3.40,-7.90
2025-03-25,-2.77,-7.27
2025-03-26,0.19,-4.31
2025-03-27,1.17,-3.33
2025-03-28,4.56,0.06
2025-03-29,5.18,0.68
2025-03-30,-0.64,-5.14
2025-03-31,-1.34,-5.84
2025-04-01,5.05,0.55
2025-04-02,-1.77,-6.27
2025-04-03,-1.40,-5.90
2025-04-04,1.57,-2.93
2025-04-05,-0.61,-5.11
2025-04-06,-5.23,-9.73
2025-04-07,-8.91,-13.41
2025-04-08,-9.42,-13.92
2025-04-09,-1.75,-6.25
2025-04-10,-5.13,-9.63
2025-04-11,-3.15,-7.65
2025-04-12,-2.57,-7.07
2025-04-13,-4.23,-8.73
2025-04-14,-2.69,-7.19
2025-04-15,-4.11,-8.61
2025-04-16,-0.42,-4.92
2025-04-18,2.24,-2.26
2025-04-19,3.27,-1.23
2025-04-20,3.20,-1.30
2025-04-21,2.76,-1.74
2025-04-22,13.33,8.83
2025-04-23,12.70,8.20
2025-04-24,12.12,7.62
2025-04-25,13.43,8.93
2025-04-26,20.79,16.29
2025-04-27,18.50,14.00
2025-04-28,24.64,20.14
2025-04-29,14.14,9.64
2025-04-30,18.39,13.89
2025-05-01,15.76,11.26
2025-05-02,13.67,9.17
2025-05-03,14.48,9.98
2025-05-04,11.45,6.95
2025-05-05,13.28,8.78
2025-05-06,15.25,10.75
2025-05-07,14.91,10.41
2025-05-08,21.37,16.87
2025-05-09,20.91,16.41
2025-05-10,19.77,15.27
2025-05-11,11.39,6.89
2025-05-12,9.66,5.16
2025-05-13,10.75,6.25
2025-05-14,9.33,4.83
2025-05-15,9.63,5.13
2025-05-16,10.36,5.86
2025-05-17,8.54,4.04
2025-05-18,12.94,8.44
2025-05-19,12.14,7.64
2025-05-20,10.73,6.23
2025-05-21,13.17,8.67
2025-05-22,16.55,12.05
2025-05-23,13.85,9.35
2025-05-24,13.79,9.29
2025-05-25,12.61,8.11
2025-05-26,12.78,8.28
2025-05-27,5.54,1.04
2025-05-28,4.69,0.19
2025-05-29,0.72,-3.78
2025-05-30,-0.10,-4.60
2025-05-31,1.80,-2.70
2025-06-01,1.50,-3.00
2025-06-02,2.28,-2.22
2025-06-03,1.60,-2.90
2025-06-04,1.21,-3.29
2025-06-05,-1.54,-6.04
2025-06-06,-1.95,-6.45
2025-06-07,0.00,-4.50
2025-06-08,-1.03,-5.53
2025-06-09,0.55,-3.95
2025-06-10,-1.27,-5.77
2025-06-11,1.25,-3.25
2025-06-12,-1.92,-6.42
2025-06-13,-2.69,-7.19
2025-06-14,-3.65,-8.15
2025-06-15,-3.10,-7.60
2025-06-16,-0.90,-5.40
2025-06-17,-0.93,-5.43
2025-06-18,0.85,-3.65
2025-06-19,0.02,-4.48
2025-06-20,-2.25,-6.75
2025-06-21,-3.54,-8.04
2025-06-22,-4.22,-8.72
2025-06-23,0.64,-3.86
2025-06-24,4.50,0.00
2025-06-25,2.88,-1.62
2025-06-26,1.34,-3.16
2025-06-27,1.26,-3.24
2025-06-28,-2.67,-7.17
2025-06-29,-1.74,-6.24
2025-06-30,-1.38,-5.88
2025-07-01,-0.01,-4.51
2025-07-02,2.61,-1.89
2025-07-03,3.95,-0.55
2025-07-04,2.30,-2.20
2025-07-05,1.30,-3.20
2025-07-06,4.42,-0.08
2025-07-07,3.20,-1.30
2025-07-08,4.09,-0.41
2025-07-09,7.71,3.21
2025-07-10,13.58,9.08
2025-07-11,16.42,11.92
2025-07-12,11.43,6.93
2025-07-13,12.24,7.74
2025-07-14,11.60,7.10
2025-07-15,10.05,5.55
2025-07-16,10.80,6.30
2025-07-17,11.11,6.61
2025-07-18,8.89,4.39
2025-07-19,10.02,5.52
2025-07-20,10.97,6.47
2025-07-21,7.84,3.34
2025-07-22,9.48,4.98
2025-07-23,9.98,5.48
2025-07-24,9.38,4.88
2025-07-25,7.71,3.21
2025-07-26,8.96,4.46
2025-07-27,9.64,5.14
2025-07-28,6.10,1.60
2025-07-29,1.64,-2.86
2025-07-30,0.21,-4.29
2025-07-31,-1.46,-5.96
2025-08-01,-4.94,-9.44
2025-08-02,-6.11,-10.61
2025-08-03,-3.03,-7.53
2025-08-04,-3.06,-7.56
2025-08-05,-4.33,-8.83
2025-08-06,-2.54,-7.04
2025-08-07,-0.34,-4.84
2025-08-08,-0.54,-5.04
2025-08-09,-0.80,-5.30
2025-08-10,-0.60,-5.10
2025-08-11,-0.09,-4.59
2025-08-12,1.45,-3.05
2025-08-13,4.87,0.37
2025-08-14,0.36,-4.14
2025-08-15,-1.70,-6.20
2025-08-16,-0.52,-5.02
2025-08-17,-0.38,-4.88
2025-08-18,-1.31,-5.81
2025-08-19,-2.51,-7.01
2025-08-20,0.91,-3.59
2025-08-21,-0.06,-4.56
2025-08-22,2.36,-2.14
2025-08-23,0.29,-4.21
2025-08-24,-0.56,-5.06
2025-08-25,-4.26,-8.76
2025-08-26,-4.87,-9.37
2025-08-27,-4.65,-9.15
2025-08-28,-3.36,-7.86
2025-08-29,-9.16,-13.66
2025-08-30,-8.32,-12.82
2025-08-31,-9.88,-14.38
2025-09-01,-11.45,-15.95
2025-09-02,-6.03,-10.53
2025-09-03,-4.84,-9.34
2025-09-04,-5.73,-10.23
2025-09-05,-5.80,-10.30
2025-09-06,-5.22,-9.72
2025-09-07,-1.53,-6.03
2025-09-08,-1.93,-6.43
2025-09-09,-0.83,-5.33
2025-09-10,-2.50,-7.00
2025-09-11,0.14,-4.36
2025-09-12,2.32,-2.18
2025-09-13,5.30,0.80
2025-09-14,3.15,-1.35
2025-09-15,3.65,-0.85
2025-09-16,2.25,-2.25
2025-09-17,7.38,2.88
2025-09-18,7.78,3.28
2025-09-19,7.60,3.10
2025-09-20,6.10,1.60
2025-09-21,3.98,-0.52
2025-09-22,1.03,-3.47
2025-09-23,1.88,-2.62
2025-09-24,2.21,-2.29
2025-09-25,2.74,-1.76
2025-09-26,0,0,49
