date,fng_value,z,score
date,fng_value,z
2024-08-10,95.4,22.46
2024-08-11,95.9,22.96
2024-08-12,96.2,23.26
2024-08-13,96.6,23.66
2024-08-14,96.9,23.96
2024-08-15,94.6,21.66
2024-08-16,95.1,22.16
2024-08-17,93.7,20.76
2024-08-18,88.8,15.86
2024-08-19,88.0,15.06
2024-08-20,87.7,14.76
2024-08-21,71.6,-1.34
2024-08-22,71.6,-1.34
2024-08-23,77.2,4.26
2024-08-24,74.6,1.66
2024-08-25,74.6,1.66
2024-08-26,75.3,2.36
2024-08-27,78.2,5.26
2024-08-28,77.7,4.76
2024-08-29,77.0,4.06
2024-08-30,76.9,3.96
2024-08-31,76.5,3.56
2024-09-01,77.1,4.16
2024-09-02,78.5,5.56
2024-09-03,77.5,4.56
2024-09-04,77.6,4.66
2024-09-05,71.4,-1.54
2024-09-06,72.4,-0.54
2024-09-07,72.6,-0.34
2024-09-08,73.4,0.46
2024-09-09,73.2,0.26
2024-09-10,73.4,0.46
2024-09-11,73.3,0.36
2024-09-12,73.7,0.76
2024-09-13,76.2,3.26
2024-09-14,75.0,2.06
2024-09-15,74.0,1.06
2024-09-16,73.1,0.16
2024-09-17,74.8,1.86
2024-09-18,73.2,0.26
2024-09-19,69.0,-3.94
2024-09-20,69.0,-3.94
2024-09-21,69.1,-3.84
2024-09-22,67.4,-5.54
2024-09-23,67.7,-5.24
2024-09-24,67.4,-5.54
2024-09-25,68.7,-4.24
2024-09-26,67.5,-5.44
2024-09-27,67.0,-5.94
2024-09-28,65.9,-7.04
2024-09-29,64.8,-8.14
2024-09-30,66.9,-6.04
2024-10-01,69.4,-3.54
2024-10-02,68.5,-4.44
2024-10-03,68.4,-4.54
2024-10-04,69.6,-3.34
2024-10-05,69.6,-3.34
2024-10-06,69.9,-3.04
2024-10-07,69.5,-3.44
2024-10-08,69.0,-3.94
2024-10-09,67.3,-5.64
2024-10-10,66.8,-6.14
2024-10-11,70.4,-2.54
2024-10-12,70.7,-2.24
2024-10-13,68.6,-4.34
2024-10-14,69.6,-3.34
2024-10-15,69.5,-3.44
2024-10-16,69.4,-3.54
2024-10-17,69.2,-3.74
2024-10-18,69.2,-3.74
2024-10-19,69.3,-3.64
2024-10-20,68.7,-4.24
2024-10-21,70.5,-2.44
2024-10-22,68.5,-4.44
2024-10-23,69.0,-3.94
2024-10-24,67.7,-5.24
2024-10-25,69.3,-3.64
2024-10-26,69.1,-3.84
2024-10-27,64.2,-8.74
2024-10-28,65.6,-7.34
2024-10-29,68.4,-4.54
2024-10-30,68.5,-4.44
2024-10-31,70.4,-2.54
2024-11-01,70.7,-2.24
2024-11-02,70.6,-2.34
2024-11-03,69.5,-3.44
2024-11-04,70.0,-2.94
2024-11-05,70.5,-2.44
2024-11-06,80.7,7.76
2024-11-07,79.4,6.46
2024-11-08,79.4,6.46
2024-11-09,79.4,6.46
2024-11-10,80.8,7.86
2024-11-11,89.0,16.06
2024-11-12,89.1,16.16
2024-11-13,86.9,13.96
2024-11-14,89.0,16.06
2024-11-15,89.0,16.06
2024-11-16,88.8,15.86
2024-11-17,88.4,15.46
2024-11-18,88.6,15.66
2024-11-19,83.2,10.26
2024-11-20,83.0,10.06
2024-11-21,83.5,10.56
2024-11-22,83.4,10.46
2024-11-23,83.4,10.46
2024-11-24,71.7,-1.24
2024-11-25,76.7,3.76
2024-11-26,76.1,3.16
2024-11-27,76.0,3.06
2024-11-28,74.1,1.16
2024-11-29,74.3,1.36
2024-11-30,74.4,1.46
2024-12-01,74.4,1.46
2024-12-02,74.5,1.56
2024-12-03,73.9,0.96
2024-12-04,72.4,-0.54
2024-12-05,72.8,-0.14
2024-12-06,73.9,0.96
2024-12-07,73.9,0.96
2024-12-08,68.4,-4.54
2024-12-09,71.5,-1.44
2024-12-10,68.5,-4.44
2024-12-11,72.1,-0.84
2024-12-12,72.1,-0.84
2024-12-13,72.0,-0.94
2024-12-14,71.9,-1.04
2024-12-15,72.4,-0.54
2024-12-16,72.4,-0.54
2024-12-17,71.6,-1.34
2024-12-18,76.7,3.76
2024-12-19,76.7,3.76
2024-12-20,76.7,3.76
2024-12-21,76.4,3.46
2024-12-22,75.1,2.16
2024-12-23,75.1,2.16
2024-12-24,74.1,1.16
2024-12-25,74.1,1.16
2024-12-26,75.5,2.56
2024-12-27,75.7,2.76
2024-12-28,74.1,1.16
2024-12-29,73.3,0.36
2024-12-30,73.1,0.16
2024-12-31,69.2,-3.74
2025-01-01,68.5,-4.44
2025-01-02,70.0,-2.94
2025-01-03,70.2,-2.74
2025-01-04,69.1,-3.84
2025-01-05,69.1,-3.84
2025-01-06,69.0,-3.94
2025-01-07,73.9,0.96
2025-01-08,72.3,-0.64
2025-01-09,73.1,0.16
2025-01-10,73.8,0.86
2025-01-11,73.3,0.36
2025-01-12,73.1,0.16
2025-01-13,73.1,0.16
2025-01-14,73.6,0.66
2025-01-15,75.0,2.06
2025-01-16,74.9,1.96
2025-01-17,77.1,4.16
2025-01-18,77.0,4.06
2025-01-19,76.6,3.66
2025-01-20,72.0,-0.94
2025-01-21,72.7,-0.24
2025-01-22,72.4,-0.54
2025-01-23,72.1,-0.84
2025-01-24,71.9,-1.04
2025-01-25,71.9,-1.04
2025-01-26,73.2,0.26
2025-01-27,72.9,-0.04
2025-01-28,70.5,-2.44
2025-01-29,71.3,-1.64
2025-01-30,68.4,-4.54
2025-01-31,69.4,-3.54
2025-02-01,68.1,-4.84
2025-02-02,69.4,-3.54
2025-02-03,69.3,-3.64
2025-02-04,70.6,-2.34
2025-02-05,70.6,-2.34
2025-02-06,70.2,-2.74
2025-02-07,70.2,-2.74
2025-02-08,69.8,-3.14
2025-02-09,69.8,-3.14
2025-02-10,70.2,-2.74
2025-02-11,68.9,-4.04
2025-02-12,69.9,-3.04
2025-02-13,69.4,-3.54
2025-02-14,69.3,-3.64
2025-02-15,67.7,-5.24
2025-02-16,64.1,-8.84
2025-02-17,60.6,-12.34
2025-02-18,60.2,-12.74
2025-02-19,60.6,-12.34
2025-02-20,61.6,-11.34
2025-02-21,63.3,-9.64
2025-02-22,63.3,-9.64
2025-02-23,63.0,-9.94
2025-02-24,68.0,-4.94
2025-02-25,67.9,-5.04
2025-02-26,71.3,-1.64
2025-02-27,71.1,-1.84
2025-02-28,70.9,-2.04
2025-03-01,72.5,-0.44
2025-03-02,85.8,12.86
2025-03-03,92.4,19.46
2025-03-04,92.5,19.56
2025-03-05,93.7,20.76
2025-03-06,93.5,20.56
2025-03-07,94.1,21.16
2025-03-08,94.1,21.16
2025-03-09,95.3,22.36
2025-03-10,95.1,22.16
2025-03-11,96.3,23.36
2025-03-12,96.4,23.46
2025-03-13,97.1,24.16
2025-03-14,97.8,24.86
2025-03-15,89.0,16.06
2025-03-16,82.3,9.36
2025-03-17,82.5,9.56
2025-03-18,80.4,7.46
2025-03-19,84.0,11.06
2025-03-20,83.7,10.76
2025-03-21,83.7,10.76
2025-03-22,78.5,5.56
2025-03-23,77.7,4.76
2025-03-24,74.2,1.26
2025-03-25,74.2,1.26
2025-03-26,72.3,-0.64
2025-03-27,70.5,-2.44
2025-03-28,72.6,-0.34
2025-03-29,72.5,-0.44
2025-03-30,72.0,-0.94
2025-03-31,71.6,-1.34
2025-04-01,68.6,-4.34
2025-04-02,68.7,-4.24
2025-04-03,68.9,-4.04
2025-04-04,69.0,-3.94
2025-04-05,67.4,-5.54
2025-04-06,72.6,-0.34
2025-04-07,73.0,0.06
2025-04-08,74.3,1.36
2025-04-09,84.7,11.76
2025-04-10,85.0,12.06
2025-04-11,87.2,14.26
2025-04-12,87.5,14.56
2025-04-13,88.0,15.06
2025-04-14,87.1,14.16
2025-04-15,86.1,13.16
2025-04-16,86.1,13.16
2025-04-18,86.1,13.16
2025-04-19,86.1,13.16
2025-04-20,81.1,8.16
2025-04-21,81.6,8.66
2025-04-22,82.5,9.56
2025-04-23,76.2,3.26
2025-04-24,72.6,-0.34
2025-04-25,70.3,-2.64
2025-04-26,70.1,-2.84
2025-04-27,69.3,-3.64
2025-04-28,69.4,-3.54
2025-04-29,69.1,-3.84
2025-04-30,69.3,-3.64
2025-05-01,69.7,-3.24
2025-05-02,69.8,-3.14
2025-05-03,70.4,-2.54
2025-05-04,70.8,-2.14
2025-05-05,60.5,-12.44
2025-05-06,62.0,-10.94
2025-05-07,62.0,-10.94
2025-05-08,70.3,-2.64
2025-05-09,70.4,-2.54
2025-05-10,70.0,-2.94
2025-05-11,70.3,-2.64
2025-05-12,70.7,-2.24
2025-05-13,70.6,-2.34
2025-05-14,70.3,-2.64
2025-05-15,70.3,-2.64
2025-05-16,69.9,-3.04
2025-05-17,69.0,-3.94
2025-05-18,70.1,-2.84
2025-05-19,70.2,-2.74
2025-05-20,70.2,-2.74
2025-05-21,63.6,-9.34
2025-05-22,63.8,-9.14
2025-05-23,68.0,-4.94
2025-05-24,67.8,-5.14
2025-05-25,67.3,-5.64
2025-05-26,67.2,-5.74
2025-05-27,67.1,-5.84
2025-05-28,67.6,-5.34
2025-05-29,68.7,-4.24
2025-05-30,69.1,-3.84
2025-05-31,67.0,-5.94
2025-06-01,67.1,-5.84
2025-06-02,66.8,-6.14
2025-06-03,64.9,-8.04
2025-06-04,63.6,-9.34
2025-06-05,61.9,-11.04
2025-06-06,64.6,-8.34
2025-06-07,64.6,-8.34
2025-06-08,64.5,-8.44
2025-06-09,68.8,-4.14
2025-06-10,68.5,-4.44
2025-06-11,68.0,-4.94
2025-06-12,69.2,-3.74
2025-06-13,69.2,-3.74
2025-06-14,69.1,-3.84
2025-06-15,69.1,-3.84
2025-06-16,69.3,-3.64
2025-06-17,70.1,-2.84
2025-06-18,68.1,-4.84
2025-06-19,66.6,-6.34
2025-06-20,66.6,-6.34
2025-06-21,66.7,-6.24
2025-06-22,60.6,-12.34
2025-06-23,67.1,-5.84
2025-06-24,67.0,-5.94
2025-06-25,65.6,-7.34
2025-06-26,65.6,-7.34
2025-06-27,65.5,-7.44
2025-06-28,65.5,-7.44
2025-06-29,65.4,-7.54
2025-06-30,64.5,-8.44
2025-07-01,65.1,-7.84
2025-07-02,66.9,-6.04
2025-07-03,66.3,-6.64
2025-07-04,66.6,-6.34
2025-07-05,65.9,-7.04
2025-07-06,61.6,-11.34
2025-07-07,61.9,-11.04
2025-07-08,61.7,-11.24
2025-07-09,62.7,-10.24
2025-07-10,66.5,-6.44
2025-07-11,66.5,-6.44
2025-07-12,66.7,-6.24
2025-07-13,66.0,-6.94
2025-07-14,64.7,-8.24
2025-07-15,65.1,-7.84
2025-07-16,65.1,-7.84
2025-07-17,63.9,-9.04
2025-07-18,64.6,-8.34
2025-07-19,64.8,-8.14
2025-07-20,64.5,-8.44
2025-07-21,64.6,-8.34
2025-07-22,64.7,-8.24
2025-07-23,60.7,-12.24
2025-07-24,60.2,-12.74
2025-07-25,60.4,-12.54
2025-07-26,59.6,-13.34
2025-07-27,60.1,-12.84
2025-07-28,59.5,-13.44
2025-07-29,59.3,-13.64
2025-07-30,59.1,-13.84
2025-07-31,59.9,-13.04
2025-08-01,61.2,-11.74
2025-08-02,61.3,-11.64
2025-08-03,62.2,-10.74
2025-08-04,60.5,-12.44
2025-08-05,60.4,-12.54
2025-08-06,60.8,-12.14
2025-08-07,62.4,-10.54
2025-08-08,62.5,-10.44
2025-08-09,61.9,-11.04
2025-08-10,63.4,-9.54
2025-08-11,63.4,-9.54
2025-08-12,63.8,-9.14
2025-08-13,64.1,-8.84
2025-08-14,67.3,-5.64
2025-08-15,67.4,-5.54
2025-08-16,67.1,-5.84
2025-08-17,67.1,-5.84
2025-08-18,67.2,-5.74
2025-08-19,68.9,-4.04
2025-08-20,68.2,-4.74
2025-08-21,68.5,-4.44
2025-08-22,71.7,-1.24
2025-08-23,70.8,-2.14
2025-08-24,71.1,-1.84
2025-08-25,71.7,-1.24
2025-08-26,70.5,-2.44
2025-08-27,68.2,-4.74
2025-08-28,68.6,-4.34
2025-08-29,70.7,-2.24
2025-08-30,70.8,-2.14
2025-08-31,70.8,-2.14
2025-09-01,69.8,-3.14
2025-09-02,70.2,-2.74
2025-09-03,69.9,-3.04
2025-09-04,66.3,-6.64
2025-09-05,66.1,-6.84
2025-09-06,65.7,-7.24
2025-09-07,63.7,-9.24
2025-09-08,63.3,-9.64
2025-09-09,63.3,-9.64
2025-09-10,64.2,-8.74
2025-09-11,59.2,-13.74
2025-09-12,59.2,-13.74
2025-09-13,58.9,-14.04
2025-09-14,59.3,-13.64
2025-09-15,58.3,-14.64
2025-09-16,58.4,-14.54
2025-09-17,58.0,-14.94
2025-09-18,58.0,-14.94
2025-09-19,58.2,-14.74
2025-09-20,58.5,-14.44
2025-09-21,58.4,-14.54
2025-09-22,60.9,-12.04
2025-09-23,59.1,-13.84
2025-09-24,58.2,-14.74
2025-09-25,58.0,-14.94
2025-09-26,0,0,40
